ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,Area,WikiData,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin
"32",KERALA,"1",KASARAGOD,"1",Manjeshwar,"1",KASARAGOD,"3201",0.031504579660000,Q13113782,A. PRABHAKARAN,Communist Party of India  (Marxist),KRISHNAKUMAR.C,Bharatiya Janata Party,"25734"
"32",KERALA,"1",KASARAGOD,"2",Kasaragod,"1",KASARAGOD,"3201",0.023006983870000,Q13111222,N A NELLIKKUNNU,Indian Union Muslim League,ADV K SHREEKANTH,Bharatiya Janata Party,"12901"
"32",KERALA,"1",KASARAGOD,"3",Udma,"1",KASARAGOD,"3201",0.038270449490000,Q13110513,C H KUNHAMBU,Communist Party of India  (Marxist),BALAKRISHNAN PERIYE,Indian National Congress,"13322"
"32",KERALA,"1",KASARAGOD,"4",Kanhangad,"1",KASARAGOD,"3201",0.044014746970000,Q13111113,E CHANDRASHEKARAN,Communist Party of India,P V SURESH,Indian National Congress,"27139"
"32",KERALA,"1",KASARAGOD,"5",Trikaripur,"1",KASARAGOD,"3201",0.027416387210000,Q16137696,M RAJAGOPALAN,Communist Party of India  (Marxist),M P JOSEPH,Kerala Congress,"26137"
"32",KERALA,"2",KANNUR,"6",Payyannur,"1",KASARAGOD,"3201",0.030969091340000,Q17379122,T I MADHUSOODANAN,Communist Party of India  (Marxist),M PRADEEP KUMAR,Indian National Congress,"49780"
"32",KERALA,"2",KANNUR,"9",Irikkur,"2",KANNUR,"3202",0.049222541160000,Q13110432,Adv. Sajeev Joseph,Indian National Congress,SAJI KUTTIYANIMATTAM,Kerala Congress  (M),"10010"
"32",KERALA,"2",KANNUR,"8",Taliparamba,"2",KANNUR,"3202",0.024564600100000,Q17379268,M V GOVINDAN MASTER,Communist Party of India  (Marxist),ADV. V P ABDUL RASHEED,Indian National Congress,"22689"
"32",KERALA,"2",KANNUR,"7",Kalliasseri,"1",KASARAGOD,"3201",0.017357253660000,Q13111077,M VIJIN,Communist Party of India  (Marxist),ADV. BRIJESH KUMAR,Indian National Congress,"44393"
"32",KERALA,"2",KANNUR,"16",Peravoor,"2",KANNUR,"3202",0.044453007680000,Q17385405,Adv. Sunny Joseph,Indian National Congress,K V Sakkeer Hussain,Communist Party of India  (Marxist),"3172"
